縣市,鄉鎮市區,村里,所得平均數_萬元,所得中位數_萬元,目標年齡層佔比_百分比,附近核心商場/商圈,latitude,longitude
新北市,汐止區,第47里,139.7,113.7,27.2,新北市汐止區核心商圈,24.9592,121.3907
基隆市,仁愛區,第47里,113.0,87.9,24.9,基隆市仁愛區核心商圈,25.1558,121.7974
桃園市,觀音區,第47里,126.3,94.3,30.7,桃園市觀音區核心商圈,25.0472,121.2629
新竹市,香山區,第47里,260.9,202.6,29.4,新竹市香山區核心商圈,24.7898,121.0806
新竹縣,芎林鄉,第47里,181.6,136.9,28.2,新竹縣芎林鄉核心商圈,24.877,121.0294
苗栗縣,苑裡鎮,第47里,91.5,69.2,25.3,苗栗縣苑裡鎮核心商圈,24.4941,120.7786
台中市,豐原區,第47里,187.2,151.9,30.8,台中市豐原區核心商圈,24.1233,120.6789
彰化縣,永靖鄉,第47里,84.1,62.0,24.5,彰化縣永靖鄉核心商圈,24.1196,120.5265
南投縣,中寮鄉,第47里,105.5,81.5,25.4,南投縣中寮鄉核心商圈,23.8912,120.6993
雲林縣,水林鄉,第47里,117.7,84.5,23.0,雲林縣水林鄉核心商圈,23.7785,120.4143
嘉義市,西區,第47里,110.1,77.9,27.5,嘉義市西區核心商圈,23.5137,120.4632
嘉義縣,布袋鎮,第47里,113.3,80.6,22.9,嘉義縣布袋鎮核心商圈,23.5379,120.3488
台南市,麻豆區,第47里,159.4,111.8,28.8,台南市麻豆區核心商圈,22.9385,120.1293
高雄市,鹽埕區,第47里,141.9,111.1,27.2,高雄市鹽埕區核心商圈,22.7256,120.3732
屏東縣,嵌頂鄉,第47里,98.8,75.6,25.6,屏東縣嵌頂鄉核心商圈,22.6911,120.5354
宜蘭縣,南澳鄉,第47里,106.1,78.4,28.7,宜蘭縣南澳鄉核心商圈,24.8214,121.7879
花蓮縣,玉里鎮,第47里,114.8,83.2,28.4,花蓮縣玉里鎮核心商圈,24.0124,121.6098
台東縣,長濱鄉,第47里,111.3,78.1,23.5,台東縣長濱鄉核心商圈,22.8296,121.1434
澎湖縣,馬公市,第47里,84.6,65.0,28.3,澎湖縣馬公市核心商圈,23.5597,119.6007
金門縣,金沙鎮,第47里,111.7,79.8,27.4,金門縣金沙鎮核心商圈,24.4317,118.4429
連江縣,北竿鄉,第47里,94.4,66.2,25.1,連江縣北竿鄉核心商圈,26.1164,119.9675
台北市,文山區,第48里,130.4,100.3,33.5,台北市文山區核心商圈,24.9846,121.5779
新北市,五股區,第48里,196.7,146.9,31.2,新北市五股區核心商圈,24.9985,121.4684
基隆市,暖暖區,第48里,113.1,86.4,27.7,基隆市暖暖區核心商圈,25.0814,121.7683
桃園市,新屋區,第48里,132.5,99.8,31.2,桃園市新屋區核心商圈,25.0465,121.3541
新竹市,香山區,第48里,291.1,227.4,32.5,新竹市香山區核心商圈,24.7539,120.9563
新竹縣,橫山鄉,第48里,116.0,86.0,27.8,新竹縣橫山鄉核心商圈,24.8063,120.9639
苗栗縣,獅潭鄉,第48里,111.2,82.5,27.6,苗栗縣獅潭鄉核心商圈,24.6178,120.7725
台中市,沙鹿區,第48里,132.3,105.6,30.5,台中市沙鹿區核心商圈,24.119,120.5896
彰化縣,大城鄉,第48里,114.3,88.3,25.6,彰化縣大城鄉核心商圈,24.0848,120.5647
南投縣,埔里鎮,第48里,97.3,75.2,22.7,南投縣埔里鎮核心商圈,23.985,120.7464
雲林縣,二崙鄉,第48里,99.6,70.4,27.0,雲林縣二崙鄉核心商圈,23.7301,120.4865
嘉義市,西區,第48里,116.4,84.7,22.0,嘉義市西區核心商圈,23.4556,120.4522
嘉義縣,中埔鄉,第48里,118.2,91.7,22.5,嘉義縣中埔鄉核心商圈,23.4921,120.3166
台南市,大內區,第48里,140.0,103.3,30.9,台南市大內區核心商圈,23.0326,120.271
高雄市,桃源區,第48里,116.6,84.6,31.2,高雄市桃源區核心商圈,22.6347,120.368
屏東縣,枋寮鄉,第48里,109.3,85.2,24.7,屏東縣枋寮鄉核心商圈,22.5822,120.4651
宜蘭縣,蘇澳鎮,第48里,113.6,84.0,26.3,宜蘭縣蘇澳鎮核心商圈,24.697,121.7365
花蓮縣,花蓮市,第48里,102.0,78.5,25.6,花蓮縣花蓮市核心商圈,24.0315,121.5459
台東縣,東河鄉,第48里,84.8,64.5,25.8,台東縣東河鄉核心商圈,22.8115,121.1113
澎湖縣,西嶼鄉,第48里,116.7,88.6,22.0,澎湖縣西嶼鄉核心商圈,23.6087,119.5227
金門縣,金寧鄉,第48里,88.6,64.4,23.0,金門縣金寧鄉核心商圈,24.4072,118.4058
連江縣,莒光鄉,第48里,90.6,67.8,28.1,連江縣莒光鄉核心商圈,26.173,119.9894
台北市,士林區,第49里,302.9,235.4,28.8,台北市士林區核心商圈,25.0841,121.6193
新北市,雙溪區,第49里,109.5,89.1,27.5,新北市雙溪區核心商圈,24.9727,121.4367
基隆市,暖暖區,第49里,117.6,86.3,24.7,基隆市暖暖區核心商圈,25.1664,121.8035
桃園市,龍潭區,第49里,168.9,133.6,29.2,桃園市龍潭區核心商圈,24.9445,121.3706
新竹市,香山區,第49里,137.2,110.5,35.6,新竹市香山區核心商圈,24.7577,121.0813
新竹縣,橫山鄉,第49里,139.6,111.0,32.5,新竹縣橫山鄉核心商圈,24.8595,121.0414
苗栗縣,通霄鎮,第49里,103.6,77.7,22.4,苗栗縣通霄鎮核心商圈,24.543,120.8858
台中市,北區,第49里,141.2,114.1,27.0,台中市北區核心商圈,24.1223,120.6288
彰化縣,溪湖鎮,第49里,101.0,72.9,27.5,彰化縣溪湖鎮核心商圈,24.147,120.5255
南投縣,南投市,第49里,119.0,87.7,26.1,南投縣南投市核心商圈,23.8326,120.7405
雲林縣,褒忠鄉,第49里,90.8,66.0,28.8,雲林縣褒忠鄉核心商圈,23.6489,120.4651
嘉義市,西區,第49里,107.2,79.9,25.8,嘉義市西區核心商圈,23.4774,120.4982
嘉義縣,鹿草鄉,第49里,113.9,86.1,24.2,嘉義縣鹿草鄉核心商圈,23.4658,120.2322
台南市,柳營區,第49里,127.5,101.7,27.9,台南市柳營區核心商圈,23.041,120.1209
高雄市,前金區,第49里,108.4,77.0,29.9,高雄市前金區核心商圈,22.7055,120.3488
屏東縣,鹽埔鄉,第49里,104.2,73.7,23.6,屏東縣鹽埔鄉核心商圈,22.6966,120.5038
宜蘭縣,員山鄉,第49里,95.1,66.7,22.7,宜蘭縣員山鄉核心商圈,24.7788,121.7028
花蓮縣,鳳林鎮,第49里,107.6,79.5,29.0,花蓮縣鳳林鎮核心商圈,24.0057,121.6689
台東縣,池上鄉,第49里,115.2,81.0,23.5,台東縣池上鄉核心商圈,22.6897,121.1655
澎湖縣,湖西鄉,第49里,85.0,60.2,22.3,澎湖縣湖西鄉核心商圈,23.5489,119.5958
金門縣,金沙鎮,第49里,109.6,83.2,26.2,金門縣金沙鎮核心商圈,24.4897,118.4068
連江縣,北竿鄉,第49里,90.1,66.1,28.3,連江縣北竿鄉核心商圈,26.1543,119.9789
台北市,中正區,第50里,145.0,122.2,28.8,台北市中正區核心商圈,24.9854,121.5283
新北市,汐止區,第50里,139.1,112.8,30.5,新北市汐止區核心商圈,24.9773,121.4095
基隆市,七堵區,第50里,93.1,69.3,24.9,基隆市七堵區核心商圈,25.0433,121.7519
桃園市,龜山區,第50里,151.7,121.5,30.8,桃園市龜山區核心商圈,25.0615,121.3384
新竹市,東區,第50里,293.3,226.0,32.5,新竹市東區核心商圈,24.8227,121.0782
新竹縣,新豐鄉,第50里,143.9,112.4,28.1,新竹縣新豐鄉核心商圈,24.8453,121.0204
苗栗縣,卓蘭鎮,第50里,109.7,84.2,26.7,苗栗縣卓蘭鎮核心商圈,24.5112,120.7564
台中市,中區,第50里,138.8,109.6,33.7,台中市中區核心商圈,24.2289,120.6303
彰化縣,伸港鄉,第50里,83.6,61.9,22.1,彰化縣伸港鄉核心商圈,24.0857,120.5149
南投縣,草屯鎮,第50里,103.7,76.9,27.0,南投縣草屯鎮核心商圈,23.9027,120.6671
雲林縣,林內鄉,第50里,109.8,81.8,24.9,雲林縣林內鄉核心商圈,23.6707,120.4556
嘉義市,東區,第50里,92.5,66.6,28.0,嘉義市東區核心商圈,23.4831,120.4444
嘉義縣,阿里山鄉,第50里,83.4,61.7,23.4,嘉義縣阿里山鄉核心商圈,23.4452,120.2891
台南市,善化區,第50里,147.8,114.4,26.8,台南市善化區核心商圈,22.9476,120.1565
高雄市,美濃區,第50里,110.9,81.3,25.4,高雄市美濃區核心商圈,22.6983,120.2329
屏東縣,枋寮鄉,第50里,105.1,74.1,27.5,屏東縣枋寮鄉核心商圈,22.6177,120.4992
宜蘭縣,大同鄉,第50里,88.1,64.6,24.6,宜蘭縣大同鄉核心商圈,24.8279,121.6774
花蓮縣,富里鄉,第50里,95.6,73.8,27.5,花蓮縣富里鄉核心商圈,23.9975,121.5454
台東縣,太麻里鄉,第50里,109.9,77.0,25.5,台東縣太麻里鄉核心商圈,22.7142,121.107
澎湖縣,湖西鄉,第50里,96.4,70.1,25.0,澎湖縣湖西鄉核心商圈,23.5833,119.5266
金門縣,金寧鄉,第50里,107.4,79.5,25.4,金門縣金寧鄉核心商圈,24.4108,118.3769
連江縣,北竿鄉,第50里,89.9,62.9,23.5,連江縣北竿鄉核心商圈,26.108,119.8797
台北市,中正區,第51里,159.0,131.7,29.7,台北市中正區核心商圈,25.0842,121.6396
新北市,萬里區,第51里,159.2,115.3,31.5,新北市萬里區核心商圈,24.9514,121.5235
基隆市,仁愛區,第51里,84.2,63.5,25.7,基隆市仁愛區核心商圈,25.1582,121.7844
桃園市,新屋區,第51里,174.7,129.4,30.5,桃園市新屋區核心商圈,24.9153,121.3738
新竹市,香山區,第51里,287.8,242.0,31.0,新竹市香山區核心商圈,24.8067,120.9655
新竹縣,竹東鎮,第51里,151.2,122.1,29.2,新竹縣竹東鎮核心商圈,24.7861,120.9492
苗栗縣,頭份市,第51里,119.5,88.8,24.2,苗栗縣頭份市核心商圈,24.6325,120.7478
台中市,龍井區,第51里,126.5,100.3,31.6,台中市龍井區核心商圈,24.1248,120.6233
彰化縣,埤頭鄉,第51里,98.2,75.5,26.0,彰化縣埤頭鄉核心商圈,24.1298,120.5303
南投縣,埔里鎮,第51里,94.5,73.5,26.4,南投縣埔里鎮核心商圈,23.9413,120.7397
雲林縣,北港鎮,第51里,93.1,68.8,26.0,雲林縣北港鎮核心商圈,23.7539,120.3738
嘉義市,西區,第51里,87.5,62.7,28.3,嘉義市西區核心商圈,23.5495,120.4869
嘉義縣,民雄鄉,第51里,113.1,80.7,28.6,嘉義縣民雄鄉核心商圈,23.4653,120.2829
台南市,玉井區,第51里,165.5,131.6,25.5,台南市玉井區核心商圈,22.993,120.248
高雄市,湖內區,第51里,126.4,96.9,26.8,高雄市湖內區核心商圈,22.637,120.2583
屏東縣,新園鄉,第51里,93.6,70.4,25.5,屏東縣新園鄉核心商圈,22.6346,120.4668
宜蘭縣,南澳鄉,第51里,88.0,64.2,25.3,宜蘭縣南澳鄉核心商圈,24.8074,121.6878
花蓮縣,卓溪鄉,第51里,85.9,60.4,24.1,花蓮縣卓溪鄉核心商圈,23.927,121.5346
台東縣,太麻里鄉,第51里,82.3,63.7,26.3,台東縣太麻里鄉核心商圈,22.7493,121.104
澎湖縣,馬公市,第51里,88.8,66.1,25.7,澎湖縣馬公市核心商圈,23.5721,119.611
金門縣,金城鎮,第51里,97.5,73.0,28.4,金門縣金城鎮核心商圈,24.4769,118.3433
連江縣,北竿鄉,第51里,114.5,84.7,27.3,連江縣北竿鄉核心商圈,26.0738,119.9065
台北市,內湖區,第52里,157.4,132.5,32.0,台北市內湖區核心商圈,25.0044,121.6004
新北市,板橋區,第52里,149.8,118.8,30.4,新北市板橋區核心商圈,24.9561,121.4916
基隆市,信義區,第52里,101.8,78.9,28.5,基隆市信義區核心商圈,25.0761,121.7129
桃園市,中壢區,第52里,181.8,137.3,30.6,桃園市中壢區核心商圈,24.9436,121.3787
新竹市,北區,第52里,202.3,171.0,35.1,新竹市北區核心商圈,24.8189,120.9751
新竹縣,新埔鎮,第52里,190.2,144.5,28.4,新竹縣新埔鎮核心商圈,24.7721,121.0415
苗栗縣,三灣鄉,第52里,89.2,65.8,26.2,苗栗縣三灣鄉核心商圈,24.6056,120.8056
台中市,霧峰區,第52里,132.2,98.5,28.3,台中市霧峰區核心商圈,24.1641,120.6467
彰化縣,伸港鄉,第52里,90.4,68.8,27.8,彰化縣伸港鄉核心商圈,24.0214,120.5774
南投縣,國姓鄉,第52里,88.7,67.6,27.1,南投縣國姓鄉核心商圈,23.955,120.6342
雲林縣,臺西鄉,第52里,87.5,65.0,28.4,雲林縣臺西鄉核心商圈,23.6651,120.3772
嘉義市,西區,第52里,107.8,75.8,28.0,嘉義市西區核心商圈,23.4263,120.378
嘉義縣,大林鎮,第52里,109.1,76.9,22.1,嘉義縣大林鎮核心商圈,23.4353,120.3241
台南市,關廟區,第52里,107.0,83.8,26.2,台南市關廟區核心商圈,22.9853,120.2739
高雄市,甲仙區,第52里,179.0,133.4,31.8,高雄市甲仙區核心商圈,22.6993,120.375
屏東縣,獅子鄉,第52里,90.8,69.0,26.9,屏東縣獅子鄉核心商圈,22.71,120.4288
宜蘭縣,大同鄉,第52里,106.7,81.1,23.6,宜蘭縣大同鄉核心商圈,24.8029,121.8116
花蓮縣,壽豐鄉,第52里,101.9,77.4,22.9,花蓮縣壽豐鄉核心商圈,23.9779,121.6586
台東縣,海端鄉,第52里,82.3,62.8,25.9,台東縣海端鄉核心商圈,22.6871,121.202
澎湖縣,湖西鄉,第52里,104.3,73.1,26.9,澎湖縣湖西鄉核心商圈,23.5846,119.5897
金門縣,烏坵鄉,第52里,93.8,67.8,25.1,金門縣烏坵鄉核心商圈,24.4578,118.3088
連江縣,東引鄉,第52里,110.3,77.3,26.8,連江縣東引鄉核心商圈,26.1648,119.9738
台北市,南港區,第53里,248.0,191.2,33.6,台北市南港區核心商圈,25.1024,121.499
新北市,三重區,第53里,105.1,78.4,33.3,新北市三重區核心商圈,25.0657,121.5254
基隆市,暖暖區,第53里,95.0,68.7,24.4,基隆市暖暖區核心商圈,25.0821,121.7865
桃園市,觀音區,第53里,154.5,120.9,26.6,桃園市觀音區核心商圈,25.0227,121.2343
新竹市,香山區,第53里,294.2,233.1,35.5,新竹市香山區核心商圈,24.7264,121.012
新竹縣,湖口鄉,第53里,134.5,105.6,29.8,新竹縣湖口鄉核心商圈,24.8894,120.9348
苗栗縣,獅潭鄉,第53里,83.8,64.0,28.0,苗栗縣獅潭鄉核心商圈,24.638,120.8358
台中市,北屯區,第53里,152.7,122.9,27.7,台中市北屯區核心商圈,24.153,120.7119
彰化縣,埔心鄉,第53里,88.4,64.8,26.8,彰化縣埔心鄉核心商圈,24.1017,120.5144
南投縣,名間鄉,第53里,100.0,72.1,28.3,南投縣名間鄉核心商圈,23.8507,120.7264
雲林縣,斗六市,第53里,95.2,73.5,23.5,雲林縣斗六市核心商圈,23.6408,120.4528
嘉義市,東區,第53里,115.0,84.6,25.7,嘉義市東區核心商圈,23.521,120.4484
嘉義縣,番路鄉,第53里,86.9,65.3,26.4,嘉義縣番路鄉核心商圈,23.3893,120.2703
台南市,山上區,第53里,115.5,86.8,31.2,台南市山上區核心商圈,22.9742,120.2548
高雄市,桃源區,第53里,160.6,114.2,27.0,高雄市桃源區核心商圈,22.6255,120.2652
屏東縣,霧臺鄉,第53里,99.3,76.9,27.7,屏東縣霧臺鄉核心商圈,22.6347,120.4831
宜蘭縣,蘇澳鎮,第53里,82.1,60.2,26.2,宜蘭縣蘇澳鎮核心商圈,24.7097,121.7592
花蓮縣,瑞穗鄉,第53里,91.6,70.1,27.9,花蓮縣瑞穗鄉核心商圈,24.0045,121.6301
台東縣,太麻里鄉,第53里,91.2,65.0,22.2,台東縣太麻里鄉核心商圈,22.7298,121.205
澎湖縣,湖西鄉,第53里,115.2,87.5,25.1,澎湖縣湖西鄉核心商圈,23.6082,119.5001
金門縣,烈嶼鄉,第53里,88.0,68.1,23.7,金門縣烈嶼鄉核心商圈,24.4028,118.4347
連江縣,東引鄉,第53里,86.0,60.6,28.0,連江縣東引鄉核心商圈,26.1125,119.9051
台北市,大同區,第54里,141.7,115.0,34.1,台北市大同區核心商圈,25.0706,121.533
新北市,烏來區,第54里,105.3,77.7,26.0,新北市烏來區核心商圈,24.9926,121.4327
基隆市,中山區,第54里,111.6,84.0,23.9,基隆市中山區核心商圈,25.102,121.7054
桃園市,大園區,第54里,118.0,85.1,26.7,桃園市大園區核心商圈,24.9753,121.2575
新竹市,香山區,第54里,224.6,179.9,32.8,新竹市香山區核心商圈,24.808,120.9592
新竹縣,北埔鄉,第54里,108.6,85.3,28.6,新竹縣北埔鄉核心商圈,24.767,120.9544
苗栗縣,苗栗市,第54里,101.3,76.0,27.8,苗栗縣苗栗市核心商圈,24.4924,120.8563
台中市,東勢區,第54里,146.9,106.8,31.3,台中市東勢區核心商圈,24.1314,120.6296
彰化縣,社頭鄉,第54里,117.6,88.9,22.8,彰化縣社頭鄉核心商圈,24.0388,120.5685
南投縣,仁愛鄉,第54里,96.4,73.6,27.7,南投縣仁愛鄉核心商圈,23.8305,120.6839
雲林縣,崙背鄉,第54里,111.0,79.0,25.8,雲林縣崙背鄉核心商圈,23.6806,120.3794
嘉義市,東區,第54里,107.8,78.9,28.0,嘉義市東區核心商圈,23.5096,120.516
嘉義縣,布袋鎮,第54里,109.6,85.1,24.7,嘉義縣布袋鎮核心商圈,23.538,120.2104
台南市,左鎮區,第54里,118.6,85.2,28.7,台南市左鎮區核心商圈,22.9503,120.2661
高雄市,前鎮區,第54里,178.3,138.9,30.3,高雄市前鎮區核心商圈,22.6267,120.3654
屏東縣,恆春鎮,第54里,85.4,64.2,25.4,屏東縣恆春鎮核心商圈,22.7214,120.5432
宜蘭縣,南澳鄉,第54里,94.9,68.3,24.6,宜蘭縣南澳鄉核心商圈,24.7199,121.7285
花蓮縣,鳳林鎮,第54里,89.8,69.8,28.7,花蓮縣鳳林鎮核心商圈,24.0209,121.6821
台東縣,大武鄉,第54里,113.3,88.4,24.4,台東縣大武鄉核心商圈,22.7654,121.2011
澎湖縣,湖西鄉,第54里,116.4,88.3,27.5,澎湖縣湖西鄉核心商圈,23.6402,119.5644
金門縣,金寧鄉,第54里,105.2,75.4,28.3,金門縣金寧鄉核心商圈,24.4406,118.4143
連江縣,東引鄉,第54里,116.2,85.3,22.5,連江縣東引鄉核心商圈,26.1322,119.9519
台北市,大安區,第55里,250.5,212.2,28.5,台北市大安區核心商圈,25.0333,121.5615
新北市,板橋區,第55里,178.8,141.7,31.0,新北市板橋區核心商圈,24.9439,121.5196
基隆市,暖暖區,第55里,94.0,70.6,24.2,基隆市暖暖區核心商圈,25.0545,121.7602
桃園市,桃園區,第55里,115.2,89.3,33.8,桃園市桃園區核心商圈,25.0484,121.2437
新竹市,香山區,第55里,187.1,148.4,29.2,新竹市香山區核心商圈,24.7923,120.9858
新竹縣,芎林鄉,第55里,136.4,111.1,28.2,新竹縣芎林鄉核心商圈,24.8545,120.9974
苗栗縣,泰安鄉,第55里,106.1,81.3,26.5,苗栗縣泰安鄉核心商圈,24.5726,120.7644
台中市,大甲區,第55里,199.7,158.1,28.1,台中市大甲區核心商圈,24.2241,120.6457
彰化縣,芬園鄉,第55里,86.8,63.4,28.4,彰化縣芬園鄉核心商圈,24.0163,120.6097
南投縣,國姓鄉,第55里,102.1,75.4,24.5,南投縣國姓鄉核心商圈,23.8368,120.7169
雲林縣,麥寮鄉,第55里,83.7,63.1,26.5,雲林縣麥寮鄉核心商圈,23.6673,120.4627
嘉義市,東區,第55里,101.1,74.4,27.1,嘉義市東區核心商圈,23.4908,120.4574
嘉義縣,水上鄉,第55里,91.9,66.6,24.3,嘉義縣水上鄉核心商圈,23.4577,120.3585
台南市,南區,第55里,99.0,71.0,26.7,台南市南區核心商圈,22.935,120.1529
高雄市,茄萣區,第55里,161.0,118.4,27.9,高雄市茄萣區核心商圈,22.6322,120.2569
屏東縣,高樹鄉,第55里,113.6,87.6,22.1,屏東縣高樹鄉核心商圈,22.7327,120.5037
宜蘭縣,三星鄉,第55里,102.8,74.1,24.9,宜蘭縣三星鄉核心商圈,24.8179,121.6702
花蓮縣,壽豐鄉,第55里,117.0,88.5,27.0,花蓮縣壽豐鄉核心商圈,24.0269,121.604
台東縣,關山鎮,第55里,105.0,75.1,26.9,台東縣關山鎮核心商圈,22.8162,121.1512
澎湖縣,西嶼鄉,第55里,86.5,66.6,24.8,澎湖縣西嶼鄉核心商圈,23.5279,119.5757
金門縣,烈嶼鄉,第55里,101.0,78.0,28.8,金門縣烈嶼鄉核心商圈,24.3798,118.3043
連江縣,莒光鄉,第55里,119.8,91.3,23.0,連江縣莒光鄉核心商圈,26.2121,119.9628
台北市,北投區,第56里,156.4,125.2,31.2,台北市北投區核心商圈,25.0635,121.5933
新北市,鶯歌區,第56里,170.9,133.0,29.2,新北市鶯歌區核心商圈,24.9516,121.3999
基隆市,中山區,第56里,99.1,77.3,22.4,基隆市中山區核心商圈,25.0759,121.7309
桃園市,大溪區,第56里,142.8,111.5,30.3,桃園市大溪區核心商圈,25.0355,121.2564
新竹市,香山區,第56里,215.5,182.2,29.2,新竹市香山區核心商圈,24.831,121.0416
新竹縣,峨眉鄉,第56里,164.7,127.5,29.3,新竹縣峨眉鄉核心商圈,24.8425,121.0152
苗栗縣,獅潭鄉,第56里,102.3,75.6,26.9,苗栗縣獅潭鄉核心商圈,24.5921,120.7867
台中市,新社區,第56里,157.0,122.1,26.7,台中市新社區核心商圈,24.1284,120.6516
彰化縣,線西鄉,第56里,102.7,73.5,26.3,彰化縣線西鄉核心商圈,24.1418,120.4718
南投縣,信義鄉,第56里,113.6,85.3,26.9,南投縣信義鄉核心商圈,23.9289,120.6188
雲林縣,虎尾鎮,第56里,83.4,62.2,22.0,雲林縣虎尾鎮核心商圈,23.6619,120.3657
嘉義市,西區,第56里,98.8,71.2,25.8,嘉義市西區核心商圈,23.5165,120.4547
嘉義縣,中埔鄉,第56里,96.1,70.2,24.0,嘉義縣中埔鄉核心商圈,23.3897,120.243
台南市,七股區,第56里,179.6,140.6,26.5,台南市七股區核心商圈,23.0372,120.2633
高雄市,大寮區,第56里,122.4,88.4,25.4,高雄市大寮區核心商圈,22.6643,120.3391
屏東縣,嵌頂鄉,第56里,110.1,77.9,24.9,屏東縣嵌頂鄉核心商圈,22.6831,120.4483
宜蘭縣,壯圍鄉,第56里,104.4,77.1,28.4,宜蘭縣壯圍鄉核心商圈,24.8111,121.744
花蓮縣,卓溪鄉,第56里,104.7,78.0,27.3,花蓮縣卓溪鄉核心商圈,23.9345,121.6357
台東縣,長濱鄉,第56里,117.2,88.6,25.2,台東縣長濱鄉核心商圈,22.7739,121.1459
澎湖縣,望安鄉,第56里,90.1,64.1,22.3,澎湖縣望安鄉核心商圈,23.6399,119.5331
金門縣,金城鎮,第56里,107.9,78.4,28.0,金門縣金城鎮核心商圈,24.4984,118.4309
連江縣,東引鄉,第56里,118.7,89.6,27.1,連江縣東引鄉核心商圈,26.1264,119.9251
台北市,士林區,第57里,273.4,213.4,32.3,台北市士林區核心商圈,25.1006,121.588
新北市,板橋區,第57里,112.4,90.3,26.7,新北市板橋區核心商圈,25.0444,121.3985
基隆市,安樂區,第57里,115.1,88.9,26.1,基隆市安樂區核心商圈,25.1229,121.6612
桃園市,觀音區,第57里,174.8,132.7,27.4,桃園市觀音區核心商圈,24.9975,121.3388
新竹市,東區,第57里,215.3,161.6,32.0,新竹市東區核心商圈,24.807,120.9362
新竹縣,竹東鎮,第57里,121.3,96.0,27.7,新竹縣竹東鎮核心商圈,24.8437,121.0019
苗栗縣,造橋鄉,第57里,84.6,62.6,22.9,苗栗縣造橋鄉核心商圈,24.6203,120.7631
台中市,東勢區,第57里,120.4,96.1,29.4,台中市東勢區核心商圈,24.2131,120.5617
彰化縣,彰化市,第57里,100.1,71.4,27.8,彰化縣彰化市核心商圈,23.9933,120.5225
南投縣,名間鄉,第57里,107.5,79.6,24.1,南投縣名間鄉核心商圈,23.8628,120.6252
雲林縣,水林鄉,第57里,85.7,61.9,24.1,雲林縣水林鄉核心商圈,23.6477,120.4886
嘉義市,東區,第57里,109.2,80.8,25.9,嘉義市東區核心商圈,23.487,120.4357
嘉義縣,水上鄉,第57里,104.4,75.8,22.3,嘉義縣水上鄉核心商圈,23.4267,120.2705
台南市,安定區,第57里,160.6,114.1,30.1,台南市安定區核心商圈,22.9231,120.1218
高雄市,大社區,第57里,104.1,79.5,30.8,高雄市大社區核心商圈,22.6616,120.2973
屏東縣,萬巒鄉,第57里,112.8,86.9,24.2,屏東縣萬巒鄉核心商圈,22.5899,120.4842
宜蘭縣,頭城鎮,第57里,92.2,70.4,26.6,宜蘭縣頭城鎮核心商圈,24.8009,121.7564
花蓮縣,豐濱鄉,第57里,91.1,70.0,27.7,花蓮縣豐濱鄉核心商圈,23.9716,121.5652
台東縣,長濱鄉,第57里,106.1,80.9,24.0,台東縣長濱鄉核心商圈,22.7584,121.1108
澎湖縣,湖西鄉,第57里,92.2,65.2,23.8,澎湖縣湖西鄉核心商圈,23.5743,119.4834
金門縣,金沙鎮,第57里,83.7,64.7,26.4,金門縣金沙鎮核心商圈,24.5007,118.4013
連江縣,東引鄉,第57里,87.2,64.1,26.2,連江縣東引鄉核心商圈,26.1205,119.8833
台北市,信義區,第58里,283.9,231.9,29.4,台北市信義區核心商圈,25.0014,121.6182
新北市,三芝區,第58里,199.8,155.7,28.5,新北市三芝區核心商圈,25.0614,121.5306
基隆市,七堵區,第58里,88.6,62.3,27.2,基隆市七堵區核心商圈,25.0797,121.7677
桃園市,蘆竹區,第58里,197.3,143.0,30.4,桃園市蘆竹區核心商圈,24.9684,121.2438
新竹市,香山區,第58里,180.7,144.8,30.6,新竹市香山區核心商圈,24.815,121.0377
新竹縣,新豐鄉,第58里,163.3,127.8,28.1,新竹縣新豐鄉核心商圈,24.8346,120.9872
苗栗縣,三灣鄉,第58里,84.3,60.6,26.3,苗栗縣三灣鄉核心商圈,24.6263,120.8647
台中市,石岡區,第58里,161.1,120.2,29.4,台中市石岡區核心商圈,24.1739,120.6125
彰化縣,線西鄉,第58里,97.4,68.8,23.3,彰化縣線西鄉核心商圈,24.1495,120.5668
南投縣,南投市,第58里,119.9,87.3,24.1,南投縣南投市核心商圈,23.8707,120.6346
雲林縣,西螺鎮,第58里,111.3,86.5,27.8,雲林縣西螺鎮核心商圈,23.643,120.3926
嘉義市,西區,第58里,84.4,63.6,22.2,嘉義市西區核心商圈,23.4021,120.4788
嘉義縣,阿里山鄉,第58里,92.7,70.0,24.8,嘉義縣阿里山鄉核心商圈,23.5289,120.3408
台南市,南化區,第58里,99.2,73.9,27.6,台南市南化區核心商圈,23.0171,120.2643
高雄市,鳥松區,第58里,148.0,110.4,30.1,高雄市鳥松區核心商圈,22.7083,120.3104
屏東縣,南州鄉,第58里,115.9,85.6,26.3,屏東縣南州鄉核心商圈,22.6886,120.5442
宜蘭縣,三星鄉,第58里,114.1,86.2,26.2,宜蘭縣三星鄉核心商圈,24.6999,121.6862
花蓮縣,卓溪鄉,第58里,88.8,64.8,23.0,花蓮縣卓溪鄉核心商圈,23.9153,121.5836
台東縣,金峰鄉,第58里,103.1,72.4,23.8,台東縣金峰鄉核心商圈,22.8245,121.1668
澎湖縣,西嶼鄉,第58里,82.2,63.5,27.5,澎湖縣西嶼鄉核心商圈,23.5352,119.596
金門縣,烏坵鄉,第58里,103.0,76.4,24.2,金門縣烏坵鄉核心商圈,24.4106,118.2973
連江縣,南竿鄉,第58里,88.1,63.1,23.3,連江縣南竿鄉核心商圈,26.1001,119.9304
